Appointment Month,Appointments Completed,Barangay,Source,Notes
2020-01,12,Gredu (Poblacion),CHO Manual Records,Q1 2020 - Routine EPI schedule
2020-02,14,New Malaga (Dalisay),CHO Manual Records,Q1 2020 - Back-to-school vaccinations
2020-03,11,Cacao,CHO Manual Records,Q1 2020 - COVID disruptions begin
2020-04,5,Consolacion,CHO Manual Records,Q2 2020 - Lockdown reduced immunizations
2020-05,4,Kasilak,CHO Manual Records,Q2 2020 - Minimal operations
2020-06,7,J.P. Laurel,CHO Manual Records,Q2 2020 - Gradual reopening
2020-07,9,Salvacion,CHO Manual Records,Q3 2020 - Catch-up campaign begins
2020-08,10,San Pedro,CHO Manual Records,Q3 2020 - Catch-up vaccinations
2020-09,11,San Francisco (Pob.),CHO Manual Records,Q3 2020 - Services normalizing
2020-10,10,A.O. Floirendo,DOH Regional Data,Q4 2020 - Routine schedule resumes
2020-11,9,New Pandan (Pob.),CHO Manual Records,Q4 2020 - Pre-holiday push
2020-12,7,Santo Niño (Pob.),CHO Manual Records,Q4 2020 - Holiday slowdown
2021-01,11,Gredu (Poblacion),CHO Manual Records,Q1 2021 - New year schedule
2021-02,13,New Malaga (Dalisay),CHO Manual Records,Q1 2021 - School enrollment vaccinations
2021-03,12,Cacao,CHO Manual Records,Q1 2021 - Regular EPI
2021-04,11,Consolacion,CHO Manual Records,Q2 2021 - Standard month
2021-05,12,Kasilak,CHO Manual Records,Q2 2021 - Outreach expansion
2021-06,15,J.P. Laurel,CHO Manual Records,Q2 2021 - School year catch-up
2021-07,14,Salvacion,CHO Manual Records,Q3 2021 - Campaign continuation
2021-08,14,San Pedro,CHO Manual Records,Q3 2021 - High demand
2021-09,12,San Francisco (Pob.),CHO Manual Records,Q3 2021 - Stabilizing
2021-10,11,A.O. Floirendo,CHO Manual Records,Q4 2021 - Regular schedule
2021-11,10,New Pandan (Pob.),CHO Manual Records,Q4 2021 - Year-end batch
2021-12,8,Santo Niño (Pob.),CHO Manual Records,Q4 2021 - Holiday period
2022-01,13,Gredu (Poblacion),CHO Manual Records,Q1 2022 - New year
2022-02,16,New Malaga (Dalisay),CHO Manual Records,Q1 2022 - Back-to-school peak
2022-03,14,Cacao,CHO Manual Records,Q1 2022 - Regular schedule
2022-04,13,Consolacion,CHO Manual Records,Q2 2022 - Standard month
2022-05,14,Kasilak,DOH Regional Data,Q2 2022 - Growing demand
2022-06,17,J.P. Laurel,CHO Manual Records,Q2 2022 - School year catch-up
2022-07,16,Salvacion,CHO Manual Records,Q3 2022 - Campaign period
2022-08,16,San Pedro,CHO Manual Records,Q3 2022 - High demand
2022-09,14,San Francisco (Pob.),CHO Manual Records,Q3 2022 - Stabilizing
2022-10,13,A.O. Floirendo,CHO Manual Records,Q4 2022 - Regular schedule
2022-11,12,New Pandan (Pob.),CHO Manual Records,Q4 2022 - Year-end
2022-12,10,Santo Niño (Pob.),CHO Manual Records,Q4 2022 - Holiday period
2023-01,14,Gredu (Poblacion),CHO Manual Records,Q1 2023 - New year
2023-02,17,New Malaga (Dalisay),CHO Manual Records,Q1 2023 - Back-to-school peak
2023-03,15,Cacao,CHO Manual Records,Q1 2023 - Regular EPI
2023-04,14,Consolacion,CHO Manual Records,Q2 2023 - Standard month
2023-05,15,Kasilak,DOH Regional Data,Q2 2023 - Outreach programs
2023-06,18,J.P. Laurel,CHO Manual Records,Q2 2023 - School year catch-up
2023-07,17,Salvacion,CHO Manual Records,Q3 2023 - Campaign period
2023-08,17,San Pedro,CHO Manual Records,Q3 2023 - High demand
2023-09,15,San Francisco (Pob.),CHO Manual Records,Q3 2023 - Stabilizing
2023-10,14,A.O. Floirendo,CHO Manual Records,Q4 2023 - Regular schedule
2023-11,13,New Pandan (Pob.),CHO Manual Records,Q4 2023 - Year-end
2023-12,11,Santo Niño (Pob.),CHO Manual Records,Q4 2023 - Holiday period
2024-01,15,Gredu (Poblacion),CHO Manual Records,Q1 2024 - New year
2024-02,18,New Malaga (Dalisay),CHO Manual Records,Q1 2024 - Back-to-school peak
2024-03,16,Cacao,CHO Manual Records,Q1 2024 - Regular schedule
2024-04,15,Consolacion,CHO Manual Records,Q2 2024 - Standard month
2024-05,16,Kasilak,DOH Regional Data,Q2 2024 - Outreach programs
2024-06,19,J.P. Laurel,CHO Manual Records,Q2 2024 - School year catch-up
2024-07,18,Salvacion,CHO Manual Records,Q3 2024 - Campaign period
2024-08,18,San Pedro,CHO Manual Records,Q3 2024 - High demand
2024-09,16,San Francisco (Pob.),CHO Manual Records,Q3 2024 - Stabilizing
2024-10,15,A.O. Floirendo,CHO Manual Records,Q4 2024 - Regular schedule
2024-11,14,New Pandan (Pob.),CHO Manual Records,Q4 2024 - Year-end
2024-12,12,Santo Niño (Pob.),CHO Manual Records,Q4 2024 - Holiday period
2025-01,16,Gredu (Poblacion),CHO Manual Records,Q1 2025 - New year processing
